EPA Building Type,OSE Building Type
Hotel,Hotel
Police Station,Fire/Police Station
Other - Entertainment/Public Assembly,Entertainment/Public Assembly
Multifamily Housing,Multifamily Housing
Library,Services
Fitness Center/Health Club/Gym,Recreation
Social/Meeting Hall,Entertainment/Public Assembly
Courthouse,Other
Prison/Incarceration,Other
K-12 School,K-12 School
College/University,College/University
Office,Office
Self-Storage Facility,Self-Storage Facility
Other - Mall,Retail Store
Senior Care Community,Senior Living Community
Medical Office,Office
Other,Other
Performing Arts,Entertainment/Public Assembly
Supermarket/Grocery Store,Supermarket/Grocery Store
Hospital (General Medical & Surgical),Hospital
Fire Station,Fire/Police Station
Museum,Entertainment/Public Assembly
"Repair Services (Vehicle, Shoe, Locksmith, etc)",Services
Other - Lodging/Residential,Hotel
Residence Hall/Dormitory,Residence Hall/Dormitory
Retail Store,Retail Store
Other/Specialty Hospital,Hospital
Financial Office,Office
Non-Refrigerated Warehouse,Non-Refrigerated Warehouse
Other - Utility,Other
Transportation Terminal/Station,Entertainment/Public Assembly
Parking,NA
Worship Facility,Worship Facility
Laboratory,Laboratory
Convention Center,Entertainment/Public Assembly
Restaurant,Restaurant
Enclosed Mall,Retail Store
Data Center,NA
NA,NA
Distribution Center,Non-Refrigerated Warehouse
Outpatient Rehabilitation/Physical Therapy,Other
Other - Services,Services
Manufacturing/Industrial Plant,Other
Strip Mall,Retail Store
Wholesale Club/Supercenter,Supermarket/Grocery Store
Refrigerated Warehouse,Refrigerated Warehouse
Lifestyle Center,Entertainment/Public Assembly
Other - Public Services,Services
Automobile Dealership,Retail Store
Energy/Power Station,Other
Other - Recreation,Entertainment/Public Assembly
Residential Care Facility,Residence Hall/Dormitory
Urgent Care/Clinic/Other Outpatient,Other
Bank Branch,Retail Store
Other - Restaurant/Bar,Restaurant
Food Service,Restaurant
Mailing Center/Post Office,Services
Adult Education,Other
Movie Theater,Entertainment/Public Assembly
Other - Education,Other
"Personal Services (Health/Beauty, Dry Cleaning, etc)",Services
Stadium (Open),Entertainment/Public Assembly
Pre-school/Daycare,Entertainment/Public Assembly
Barracks,NA
Vocational School,Other
Bar/Nightclub,Restaurant
Swimming Pool,Recreation
Food Sales,Supermarket/Grocery Store
Other - Technology/Science,Other
Fast Food Restaurant,Restaurant
Convenience Store without Gas Station,Entertainment/Public Assembly